"ID_REPORT";"TIPO_MATCH";"COD_LOCALE_PROGETTO";"CUP";"OC_LINK";"OC_FLAG_VISUALIZZAZIONE";"NOTE"
1037;"url_clp";"3UM28484";"C75G10006150007";"www.opencoesione.gov.it/progetti/3um28484";0;
1038;"url_clp";"1MISEPA01VIAMESSINAMARINAE";"D95C05000160005";"www.opencoesione.gov.it/progetti/1misepa01viamessinamarinae";0;
1040;"url_clp";"2MINT2.1/CAL/16";"C63B12000210001";"www.opencoesione.gov.it/progetti/2mint21cal16";0;
1041;"url_clp";"1CL206435";"D79J12000340005";"www.opencoesione.gov.it/progetti/1cl206435";0;
1044;"url_clp";"3PIPBAN-FAS12479";"G38C12000000004";"www.opencoesione.gov.it/progetti/3pipban-fas12479";0;
1046;"url_clp";"1CL210594";"J69G13000630005";"www.opencoesione.gov.it/progetti/1cl210594";0;
1047;"url_clp";"2MOII.1.2 5";"D32J12000410002";"www.opencoesione.gov.it/progetti/2moii12-5";0;
1049;"url_clp";"1MISEPON02_00563_3489339/1";"B31C12001110005";"www.opencoesione.gov.it/progetti/1misepon02_00563_34893391";0;
1050;"url_clp";"1SI8983";"E81B12000130006";"www.opencoesione.gov.it/progetti/1si8983";0;
1051;"url_clp";"1MISEVE52P012";"I71B14000310002";"www.opencoesione.gov.it/progetti/1miseve52p012";0;
1052;"url_clp";"27AB621B002";"D18J11000190004";"www.opencoesione.gov.it/progetti/27ab621b002";0;
1055;"url_clp";"1PUFE4.200039";"B77E04000100002";"www.opencoesione.gov.it/progetti/1pufe4200039";0;
1058;"url_clp";"1SA110201II221aSD12040";"D89J12000110006";"www.opencoesione.gov.it/progetti/1sa110201ii221asd12040";0;
1061;"url_clp";"1SI8002";"G89D11000130006";"www.opencoesione.gov.it/progetti/1si8002";0;
1062;"url_clp";"1CA886C352007IT161PO009";"G34E10000000001";"www.opencoesione.gov.it/progetti/1ca886c352007it161po009";1;
1063;"url_clp";"1CL206535";"G26D13000500005";"www.opencoesione.gov.it/progetti/1cl206535";0;
1066;"url_clp";"6TO574929";"H15G12000320007";"www.opencoesione.gov.it/progetti/6to574929";0;
1067;"url_clp";"1MISEPUGLIA38";"F74H13000000002";"www.opencoesione.gov.it/progetti/1misepuglia38";0;
1068;"url_clp";"1MISEPONA3_00273/1";"B71D11000140007";"www.opencoesione.gov.it/progetti/1misepona3_002731";0;
1069;"url_clp";"1MISEPACSIC-TP01";"G98I13000540005";"www.opencoesione.gov.it/progetti/1misepacsic-tp01";0;
1070;"url_clp";"1SA110201II221APS10247";"I16E10000640005";"www.opencoesione.gov.it/progetti/1sa110201ii221aps10247";0;
1071;"url_clp";"6TO169155";"C43C07000040005";"www.opencoesione.gov.it/progetti/6to169155";0;
1072;"url_clp";"3PIPBAN-FAS14326";"J34C03000000001";"www.opencoesione.gov.it/progetti/3pipban-fas14326";0;
1073;"url_clp";"4UM42114";"B34B13000320006";"www.opencoesione.gov.it/progetti/4um42114";0;
1074;"url_clp";"1PUFE2.300116";"J45D10000190002";"www.opencoesione.gov.it/progetti/1pufe2300116";0;
1075;"url_clp";"1SASSOT fly";"C71F12000030002";"www.opencoesione.gov.it/progetti/1sassot-fly";0;
1077;"url_clp";"2MINT2.8/CAL/8";"F13G12000020006";"www.opencoesione.gov.it/progetti/2mint28cal8";0;
1080;"url_clp";"1PUFE4.100049";"J11E05000010007";"www.opencoesione.gov.it/progetti/1pufe4100049";0;
1082;"url_clp";"1EM2007-3002/MO";"E99C07000280007";"www.opencoesione.gov.it/progetti/1em2007-3002mo";0;
1083;"url_clp";"1MISECMSM887-01";"J61C06000050009";"www.opencoesione.gov.it/progetti/1misecmsm887-01";0;
1084;"url_clp";"1CA48C332007IT161PO009";"J71B08000330000";"www.opencoesione.gov.it/progetti/1ca48c332007it161po009";0;
1085;"url_clp";"1CL103576";"H31D03000010005";"www.opencoesione.gov.it/progetti/1cl103576";0;
1086;"url_clp";"2LAA0017P0201";"F87I10000490007";"www.opencoesione.gov.it/progetti/2laa0017p0201";0;
1087;"url_clp";"1CA249C332007IT161PO009";"E87F05000010007";"www.opencoesione.gov.it/progetti/1ca249c332007it161po009";0;
1088;"url_clp";"1SI140";"H11F04000000007";"www.opencoesione.gov.it/progetti/1si140";0;
1089;"url_clp";"1MISECAMCA02-BN.01";"J88F12000140001";"www.opencoesione.gov.it/progetti/1misecamca02-bn01";0;
1090;"url_clp";"5FR15900";"H61E15000320006";"www.opencoesione.gov.it/progetti/5fr15900";0;
1091;"url_clp";"17EM2011-2889/RER";"E55F11000160005";"www.opencoesione.gov.it/progetti/17em2011-2889rer";0;
1092;"url_clp";"27AB211013";"E18G11000170005";"www.opencoesione.gov.it/progetti/27ab211013";0;
1093;"url_clp";"4FR2639";"D93D11000420007";"www.opencoesione.gov.it/progetti/4fr2639";0;
1096;"url_clp";"1MISEMO3C.030";"G36D14000430002";"www.opencoesione.gov.it/progetti/1misemo3c030";0;"1 report 2 CLP (POR e PAC) >>> progetto inattivo"
1096;"url_clp";"1MISEMO3C.031";"G37E15000050002";"www.opencoesione.gov.it/progetti/1misemo3c031";0;"1 report 2 CLP (POR e PAC)"
1097;"url_clp";"1MISEPA01LEONARDODAVINCI";"D76E09000100007";"www.opencoesione.gov.it/progetti/1misepa01leonardodavinci";0;
1099;"url_clp";"1MTRA12244";"E71F04000000007";"www.opencoesione.gov.it/progetti/1mtra12244";0;
1101;"url_clp";"2LAA0003P0008";"B94B10000000001";"www.opencoesione.gov.it/progetti/2laa0003p0008";0;
1102;"url_clp";"1MISEABRAB012-05nc";"C82J12000280001";"www.opencoesione.gov.it/progetti/1miseabrab012-05nc";0;
1103;"url_clp";"4FR1225";"D95G10000160006";"www.opencoesione.gov.it/progetti/4fr1225";0;
1105;"url_clp";"1SI7639";"G83F11000280004";"www.opencoesione.gov.it/progetti/1si7639";0;
1108;"url_clp";"1SI12692";"B51B07000240001";"www.opencoesione.gov.it/progetti/1si12692";0;
1112;"url_clp";"3MO1034";"D39G14000460007";"www.opencoesione.gov.it/progetti/3mo1034";0;
1114;"url_clp";"5SI4471";"I92F10000090007";"www.opencoesione.gov.it/progetti/5si4471";0;
1115;"url_clp";"1MISE1R-C121-I-1-01";"I51E14001180001";"www.opencoesione.gov.it/progetti/1mise1r-c121-i-1-01";0;
1117;"url_clp";"1PUFE4.200372";"J97H14001160001";"www.opencoesione.gov.it/progetti/1pufe4200372";0;
1120;"url_clp";"3PIPBAN-4626";"J14B10000690006";"www.opencoesione.gov.it/progetti/3pipban-4626";0;
1124;"url_clp";"3PIPBAN-1010";"D13J07000150007";"www.opencoesione.gov.it/progetti/3pipban-1010";0;
1131;"url_clp";"6TO370616";"C43G03000030009";"www.opencoesione.gov.it/progetti/6to370616";0;
1132;"url_clp";"1PUFE4.200024";"B87E08000020002";"www.opencoesione.gov.it/progetti/1pufe4200024";0;
1133;"url_clp";"1SI15006";"E53J08000060002";"www.opencoesione.gov.it/progetti/1si15006";0;
1135;"url_clp";"1SI7685";"H62J07000110002";"www.opencoesione.gov.it/progetti/1si7685";0;
1136;"url_clp";"1MISEPON02_00451_3361785/1";"B61C12000870005";"www.opencoesione.gov.it/progetti/1misepon02_00451_33617851";0;
1137;"url_clp";"1MISEVE32P032";"H16J15000100002";"www.opencoesione.gov.it/progetti/1miseve32p032";0;
1138;"url_clp";"1MISER-CAMPANIA CE06";"F17E13000360006";"www.opencoesione.gov.it/progetti/1miser-campania-ce06";0;
1139;"url_clp";"1CL89490";"F39G08000120001";"www.opencoesione.gov.it/progetti/1cl89490";0;
1140;"url_clp";"1PUFE3.200341";"H43G12000000001";"www.opencoesione.gov.it/progetti/1pufe3200341";0;
1142;"url_clp";"1MPII-6-FSE-2014-1";"B98F14000010007";"www.opencoesione.gov.it/progetti/1mpii-6-fse-2014-1";0;
1143;"url_clp";"1SI11272";"I37B13000120006";"www.opencoesione.gov.it/progetti/1si11272";0;
1144;"url_clp";"1SI9956";"G99E11002480006";"www.opencoesione.gov.it/progetti/1si9956";0;
1145;"url_clp";"1PUFE2.500217";"I89E12003480002";"www.opencoesione.gov.it/progetti/1pufe2500217";0;
1147;"url_clp";"1MISEABRSE021-41";"C72F13000130005";"www.opencoesione.gov.it/progetti/1miseabrse021-41";0;
1148;"url_clp";"17EM2010-01144/BO";"J29G09000070006";"www.opencoesione.gov.it/progetti/17em2010-01144bo";0;
1149;"url_clp";"1MISER-CAMPANIA CE03";"F64B11000050001";"www.opencoesione.gov.it/progetti/1miser-campania-ce03";0;
1150;"url_clp";"1PUFE4.200010";"F57B04000140001";"www.opencoesione.gov.it/progetti/1pufe4200010";0;
1151;"url_clp";"1CL89486";"F19G09000000001";"www.opencoesione.gov.it/progetti/1cl89486";0;
1152;"url_clp";"1CA501C332007IT161PO009";"B24E12000090004";"www.opencoesione.gov.it/progetti/1ca501c332007it161po009";0;
1153;"url_clp";"1SA050106IV411BDDS92011";"E38G11001350002";"www.opencoesione.gov.it/progetti/1sa050106iv411bdds92011";0;
1155;"url_clp";"1SA110106IV423cMT080001";"E22I06000030003";"www.opencoesione.gov.it/progetti/1sa110106iv423cmt080001";0;
1157;"url_clp";"1SI355";"G97E05000000006";"www.opencoesione.gov.it/progetti/1si355";0;
1159;"url_clp";"1SA020000I111ASB090001E";"F74C12000080002";"www.opencoesione.gov.it/progetti/1sa020000i111asb090001e";0;
1160;"url_clp";"1SI8147";"G48F11000170006";"www.opencoesione.gov.it/progetti/1si8147";0;
1161;"url_clp";"1CL101712";"C99G09000090002";"www.opencoesione.gov.it/progetti/1cl101712";0;
1162;"url_clp";"1PUFE4.400035";"F73E10000080002";"www.opencoesione.gov.it/progetti/1pufe4400035";0;
1164;"url_clp";"2LAA0092P0005";"F85D07000030002";"www.opencoesione.gov.it/progetti/2laa0092p0005";0;
1167;"url_clp";"1MISEBA 049A/10";"J95D12000060001";"www.opencoesione.gov.it/progetti/1miseba-049a10";0;
1168;"url_clp";"1SI2805";"C34H11000000006";"www.opencoesione.gov.it/progetti/1si2805";0;
1170;"url_clp";"1CA57C332007IT161PO009";"J89D07000270006";"www.opencoesione.gov.it/progetti/1ca57c332007it161po009";0;
1172;"url_clp";"1SI3848";"G19E12000920006";"www.opencoesione.gov.it/progetti/1si3848";0;
1173;"url_clp";"1MISEPACPUG-LE02";"D75C14000020007";"www.opencoesione.gov.it/progetti/1misepacpug-le02";0;
1174;"url_clp";"1CA17C332007IT161PO009";"I54B06000010000";"www.opencoesione.gov.it/progetti/1ca17c332007it161po009";0;
1177;"url_clp";"1PUPA2.500057";"J74E14000400006";"www.opencoesione.gov.it/progetti/1pupa2500057";0;
1179;"url_clp";"1PUFC4.100192";"E52C16000010002";"www.opencoesione.gov.it/progetti/1pufc4100192";0;
1187;"url_clp";"1CL203257";"G23J12000310004";"www.opencoesione.gov.it/progetti/1cl203257";0;
1189;"url_clp";"3PIPBAN-12445";"C19H11000080004";"www.opencoesione.gov.it/progetti/3pipban-12445";0;
1191;"url_clp";"1MISEMOS4.ES.021";"B19H11000540003";"www.opencoesione.gov.it/progetti/1misemos4es021";0;
1192;"url_clp";"1MISER-CAMPANIA CE05";"F21B13000690001";"www.opencoesione.gov.it/progetti/1miser-campania-ce05";0;
1193;"url_clp";"1PUFC2.200007";"E62I13000010001";"www.opencoesione.gov.it/progetti/1pufc2200007";0;
1194;"url_clp";"2MINT2.1/SIC/19";"I99D10000130001";"www.opencoesione.gov.it/progetti/2mint21sic19";0;
1195;"url_clp";"1PUFE7.100240";"H96H11000230004";"www.opencoesione.gov.it/progetti/1pufe7100240";0;
1197;"url_clp";"7UM32224";"F41D11000010001";"www.opencoesione.gov.it/progetti/7um32224";0;
1199;"url_clp";"1MISEH22E06000040001";"H22E06000040001";"www.opencoesione.gov.it/progetti/1miseh22e06000040001";0;
1201;"url_clp";"1MISEPONA3_00053/3";"B71D11000120007";"www.opencoesione.gov.it/progetti/1misepona3_000533";0;
1202;"url_clp";"1MISE1R-C312-A-1-01";"C69D15003040001";"www.opencoesione.gov.it/progetti/1mise1r-c312-a-1-01";0;
1205;"url_clp";"1PUFE4.100039";"H73D05000060002";"www.opencoesione.gov.it/progetti/1pufe4100039";0;
1206;"url_clp";"1PUFE4.200024";"B87E08000020002";"www.opencoesione.gov.it/progetti/1pufe4200024";0;
1207;"url_clp";"1PUFE4.200048";"H43C06000140002";"www.opencoesione.gov.it/progetti/1pufe4200048";0;
1208;"url_clp";"1SA050107IV12DGPP10005";"B31I10002200006";"www.opencoesione.gov.it/progetti/1sa050107iv12dgpp10005";0;
1210;"url_clp";"1CA1070C352007IT161PO009";"G43C06000120002";"www.opencoesione.gov.it/progetti/1ca1070c352007it161po009";0;
1212;"url_clp";"1CL101672";"D53J09000230001";"www.opencoesione.gov.it/progetti/1cl101672";0;
1213;"url_clp";"1PUFE4.200065";"B97E05000050009";"www.opencoesione.gov.it/progetti/1pufe4200065";0;
1215;"url_clp";"1MISE999-1.6_229-Marcianise";"H24F14000000006";"www.opencoesione.gov.it/progetti/1mise999-16_229-marcianise";1;
1216;"url_clp";"1PUFE3.200301";"J54C10000110008";"www.opencoesione.gov.it/progetti/1pufe3200301";0;
1217;"url_clp";"1SI9767";"G89J11000220006";"www.opencoesione.gov.it/progetti/1si9767";0;
1218;"url_clp";"1MISEABRAA07-03";"D24E15000450006";"www.opencoesione.gov.it/progetti/1miseabraa07-03";0;
1219;"url_clp";"1LALA1000052278";"F86J14002080009";"www.opencoesione.gov.it/progetti/1lala1000052278";0;
1220;"url_clp";"1SI1452";"F52E06000000001";"www.opencoesione.gov.it/progetti/1si1452";0;
1221;"url_clp";"1MPI2APQ-SIC-TP-E974-195";"H83B09000060005";"www.opencoesione.gov.it/progetti/1mpi2apq-sic-tp-e974-195";0;
1222;"url_clp";"1CL101660";"C98G10000030002";"www.opencoesione.gov.it/progetti/1cl101660";0;
1224;"url_clp";"2BA73/2010/163";"D53E10000140002";"www.opencoesione.gov.it/progetti/2ba732010163";0;
