"OC_CODICE_PROGRAMMA";"x_CICLO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"x_REGNAZ";"TIPO";"NOTE"
"2014TC16RFIR001";"2014-2020";"CTE";"INTERREGIONAL";"INTERREG EUROPE";"NAZ";0;
"2014TC16RFCB034";"2014-2020";"CTE";"CROSSBORDER";"INTERREG FR-ITA ALCOTRA";"NAZ";0;
"2014TC16RFCB020";"2014-2020";"CTE";"CROSSBORDER";"INTERREG GRE-ITALY";"NAZ";0;
"2007CB163PO060";"2007-2013";"CTE";"CROSSBORDER";"INTERREG GRE-ITALY";"NAZ";0;
"2014TC16RFCB052";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-AUS";"NAZ";0;
"2014TC16RFCB033";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-FRA MARITIME";"NAZ";0;
"2014TC16RFCB042";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-HRO";"NAZ";0;
"2014TC16RFCB037";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-MLT";"NAZ";0;
"2014TC16RFCB036";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-SLO";"NAZ";0;
"2014TC16RFCB035";"2014-2020";"CTE";"CROSSBORDER";"INTERREG ITA-SWI";"NAZ";0;
"2007CB16IPO001";"2007-2013";"CTE";"IPA";"IPA-ADRIATICO";"NAZ";0;
"2014TC16I5CB008";"2014-2020";"CTE";"IPA";"IPA-CBC ITA-ALB-MON";"NAZ";0;
"2016PCDPCFSC005";"2014-2020";"FSC";"ALTRO";"ISTITUTI STUDI STORICI E FILOSOFICI NAPOLI";"NAZ";4;
"2007CB163PO046";"2007-2013";"CTE";"INTERREGIONAL";"IV C";"NAZ";0;
"2015PCDPCFSC018";"2014-2020";"FSC";"ALTRI CIPE";"LAMPEDUSA";"NAZ";4;
"2012XMITRFSC005";"2007-2013";"FSC";"CHK";"LINEA METROPOLITANA DI MILANO M5";"NAZ";0;"Monitorato su BDU 2014-2020"
"2018MATERAFSC";"2014-2020";"FSC";"ALTRI CIPE";"MATERA CAPITALE DELLA CULTURA 2019";"NAZ";0;
"2014TC16M4TN001";"2014-2020";"CTE";"TRANSNATIONAL";"MED";"NAZ";0;
"2016MEFDTFSC001";"2014-2020";"FSC";"ALTRO";"METANIZZAZIONE";"NAZ";4;
"FSCMUSEOTERME";"2007-2013";"FSC";"NAZ-NEW";"MUSEO DELLE TERME DI MONTECATINI";"NAZ";0;
"2007IT001FAOS1";"2007-2013";"FSC";"ODS";"ODS ABRUZZO";"ABRUZZO";0;
"2007IT001FAOS5";"2007-2013";"FSC";"ODS";"ODS BASILICATA";"BASILICATA";0;
"2007IT001FAOS6";"2007-2013";"FSC";"ODS";"ODS CALABRIA";"CALABRIA";0;
"2007IT001FAOS3";"2007-2013";"FSC";"ODS";"ODS CAMPANIA";"CAMPANIA";0;
"2007IT001FAOS9";"2007-2013";"FSC";"ODS";"ODS MIUR";"NAZ";0;
"2007IT001FAOS2";"2007-2013";"FSC";"ODS";"ODS MOLISE";"MOLISE";0;
"2007IT001FAOS4";"2007-2013";"FSC";"ODS";"ODS PUGLIA";"PUGLIA";0;
"2007IT001FAOS8";"2007-2013";"FSC";"ODS";"ODS SARDEGNA";"SARDEGNA";0;
"2007IT001FAOS7";"2007-2013";"FSC";"ODS";"ODS SICILIA";"SICILIA";0;
"2007LA002FA004";"2007-2013";"FSC";"REG";"PA LAZIO";"LAZIO";0;
"2007IT003FA001";"2007-2013";"FSC";"CHK";"PA MIT DGES";"NAZ";0;
"2007IT003FA002";"2007-2013";"FSC";"CHK";"PA MIT STM";"NAZ";0;
"2007IT001FA004";"2007-2013";"FSC";"NAZ-NEW";"PA SICUREZZA EDIFICI SCOLASTICI";"NAZ";0;
"2013ABXXXPAC00";"2007-2013";"POC";"PACR";"PAC ABRUZZO";"ABRUZZO";2;"Duplicato lato IGRUE"
"2015ABXXXPAC00";"2007-2013";"POC";"PACR";"PAC ABRUZZO";"ABRUZZO";2;"Duplicato lato IGRUE (vuoto)"
"2017BAXXXPAC00";"2007-2013";"POC";"PACR";"PAC BASILICATA";"BASILICATA";0;
"2012CLXXXPAC00";"2007-2013";"POC";"PACR";"PAC CALABRIA";"CALABRIA";0;
"2012CAXXXPAC00";"2007-2013";"POC";"PACR";"PAC CAMPANIA";"CAMPANIA";0;
"2013FVGXXPAC00";"2007-2013";"POC";"PACR";"PAC FRIULI VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";0;
"2014ACTXXPAC00";"2007-2013";"POC";"PACN";"PAC GOVERNANCE";"NAZ";0;
"2012MIBACPAC21";"2007-2013";"POC";"PACN";"PAC MIBACT";"NAZ";0;
"2012MINTXPAC21";"2007-2013";"POC";"PACN";"PAC MININT SERVIZI DI CURA";"NAZ";0;
"2012MINTXPAC22";"2007-2013";"POC";"PACN";"PAC MININT SICUREZZA E LEGALITA'";"NAZ";0;
"2012MINTXPAC23";"2007-2013";"POC";"PACN";"PAC MININT SICUREZZA E LEGALITA' IN CALABRIA";"NAZ";0;
"2012MINTXPAC22:::2012NZ000OC001";"2007-2013";"POC";"PACN";"PAC MINISTERO DELL'INTERNO - PIANO AZIONE GIOVANI SICUREZZA E LEGALITA' :::POC SICUREZZA";"NAZ";1;
"2012MISE1PAC21";"2007-2013";"POC";"PACN";"PAC MISE AUTOIMPIEGO E AUTOIMPRENDITORIALITA'";"NAZ";0;
"2012MISE2PAC21";"2007-2013";"POC";"PACN";"PAC MISE ENERGIA";"NAZ";0;
"2012MISE1PAC22";"2007-2013";"POC";"PACN";"PAC MISE IMPRESE, DOMANDA PUBBLICA E PROMOZIONE";"NAZ";0;
"2012MISE3PAC31";"2007-2013";"POC";"PACN";"PAC MISE MISURE ANTICICLICHE";"NAZ";0;
"2012MISE1PAC31";"2007-2013";"POC";"PACN";"PAC MISE NUOVE AZIONI E MISURE ANTICICLICHE";"NAZ";0;
"2012MITXXPAC33";"2007-2013";"POC";"PACN";"PAC MIT PIANO CITTA'";"NAZ";0;
"2012MITXXPAC32";"2007-2013";"POC";"PACN";"PAC MIT SALVAGUARDIA";"NAZ";0;
"2012MIURXPAC21";"2007-2013";"POC";"PACN";"PAC MIUR";"NAZ";0;
"2012MLPSXPAC21";"2007-2013";"POC";"PACN";"PAC MLPS APPRENDISTATO E NEET";"NAZ";0;
"2014MOXXXPAC00";"2007-2013";"POC";"PACR";"PAC MOLISE";"MOLISE";0;
"2016BOXXXPAC00";"2007-2013";"POC";"PACR";"PAC PA BOLZANO";"PA BOLZANO";0;
"2012PCMDGPAC21";"2007-2013";"POC";"PACN";"PAC PCM GIOVENTU'";"NAZ";0;
"2016PIXXXPAC00";"2007-2013";"POC";"PACR";"PAC PIEMONTE";"PIEMONTE";0;
"2012PUXXXPAC00";"2007-2013";"POC";"PACR";"PAC PUGLIA";"PUGLIA";0;
"2012SAXXXPAC00";"2007-2013";"POC";"PACR";"PAC SARDEGNA";"SARDEGNA";0;
"2012SIXXXPAC00";"2007-2013";"POC";"PACR";"PAC SICILIA";"SICILIA";0;
"2013UMXXXPAC00";"2007-2013";"POC";"PACR";"PAC UMBRIA";"UMBRIA";2;"Duplicato lato IGRUE"
"2015UMXXXPAC00";"2007-2013";"POC";"PACR";"PAC UMBRIA";"UMBRIA";2;"Duplicato lato IGRUE (vuoto)"
"2012VAXXXPAC00";"2007-2013";"POC";"PACR";"PAC VALLE D'AOSTA";"VALLE D'AOSTA";0;
"FSC_1420_CDD_06";"2014-2020";"FSC";"ALTRI CIPE";"PALAZZO DI GIUSTIZIA DI LECCO";"NAZ";4;"Coda 713"
"2017PALGIURCFSC";"2014-2020";"FSC";"ALTRI CIPE";"PALAZZO DI GIUSTIZIA DI REGGIO CALABRIA";"NAZ";0;
"2007IT001FA006";"2007-2013";"FSC";"CHK";"PAN RICERCA E COMPETITIVITA'";"NAZ";9;
"2007AB002FA001";"2007-2013";"FSC";"REG";"PAR FSC ABRUZZO";"ABRUZZO";0;
"2007EM002FA002";"2007-2013";"FSC";"REG";"PAR FSC EMILIA ROMAGNA";"EMILIA-ROMAGNA";0;
"2007FR002FA003";"2007-2013";"FSC";"REG";"PAR FSC FRIULI VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA";0;
"2007LI002FA005";"2007-2013";"FSC";"REG";"PAR FSC LIGURIA";"LIGURIA";0;
"2007LO002FA006";"2007-2013";"FSC";"REG";"PAR FSC LOMBARDIA";"LOMBARDIA";0;
"2007MA002FA007";"2007-2013";"FSC";"REG";"PAR FSC MARCHE";"MARCHE";0;
"2007MO002FA009";"2007-2013";"FSC";"REG";"PAR FSC MOLISE";"MOLISE";0;
"2007TR002FA010";"2007-2013";"FSC";"REG";"PAR FSC P.A. TRENTO";"PA TRENTO";0;
"2007BO002FA009";"2007-2013";"FSC";"REG";"PAR FSC PA BOLZANO";"PA BOLZANO";0;
"2007PI002FA011";"2007-2013";"FSC";"REG";"PAR FSC PIEMONTE";"PIEMONTE";0;
"2007TO003FA012";"2007-2013";"FSC";"REG";"PAR FSC TOSCANA";"TOSCANA";0;
"2007TO002FA012";"2007-2013";"FSC";"REG";"PAR FSC TOSCANA";"TOSCANA";9;
"2007UM002FA013";"2007-2013";"FSC";"REG";"PAR FSC UMBRIA";"UMBRIA";0;
"2007VA002FA014";"2007-2013";"FSC";"REG";"PAR FSC VALLE D'AOSTA";"VALLE D'AOSTA";0;
"2007VE002FA015";"2007-2013";"FSC";"REG";"PAR FSC VENETO";"VENETO";0;
"2007SI002FAPA1";"2007-2013";"FSC";"NAZ-PCM";"PAS COMUNE DI PALERMO";"NAZ";0;
"2007IT001FA005";"2007-2013";"FSC";"CHK";"PAS DIRETTRICI FERROVIARIE";"NAZ";0;
"2007IT005FAMG1";"2007-2013";"FSC";"CHK";"PAS GIUSTIZIA CIVILE";"NAZ";0;
"2007IT002FA030";"2007-2013";"FSC";"NAZ-PCM";"PAS RI.MED.";"NAZ";0;
"2007EM002FA003";"2007-2013";"FSC";"REG";"PAS RICOSTRUZIONE EMILIA-ROMAGNA";"EMILIA-ROMAGNA";0;
"2007IT004FABC1";"2007-2013";"FSC";"NAZ-ALT";"PAS SEDI MUSEALI NAZIONALI";"NAZ";0;
"2016PATTIABR";"2014-2020";"FSC";"PATTI";"PATTO ABRUZZO";"ABRUZZO";0;
"2016PATTIBARI";"2014-2020";"FSC";"PATTI";"PATTO BARI";"PUGLIA";0;
"2016PATTIBASIL";"2014-2020";"FSC";"PATTI";"PATTO BASILICATA";"BASILICATA";0;
"2018POFSCBO";"2014-2020";"FSC";"PATTI";"PATTO BOLOGNA";"EMILIA-ROMAGNA";0;
"2016PATTICAGL";"2014-2020";"FSC";"PATTI";"PATTO CAGLIARI";"SARDEGNA";0;
"2016PATTICAL";"2014-2020";"FSC";"PATTI";"PATTO CALABRIA";"CALABRIA";0;
"2016PATTICAMP";"2014-2020";"FSC";"PATTI";"PATTO CAMPANIA";"CAMPANIA";0;
"2016PATTICAT";"2014-2020";"FSC";"PATTI";"PATTO CATANIA";"SICILIA";0;
"2018POFSCEMROM";"2014-2020";"FSC";"PATTI";"PATTO EMILIA-ROMAGNA";"EMILIA-ROMAGNA";0;
"2016PATTIFIR";"2014-2020";"FSC";"PATTI";"PATTO FIRENZE";"TOSCANA";0;
"2016PATTIGEN";"2014-2020";"FSC";"PATTI";"PATTO GENOVA";"LIGURIA";0;
"2016PATTILAZ";"2014-2020";"FSC";"PATTI";"PATTO LAZIO";"LAZIO";0;
"2016PATTILOMB";"2014-2020";"FSC";"PATTI";"PATTO LOMBARDIA";"LOMBARDIA";0;
"2016PATTIMES";"2014-2020";"FSC";"PATTI";"PATTO MESSINA";"SICILIA";0;
"2016PATTIMIL";"2014-2020";"FSC";"PATTI";"PATTO MILANO";"LOMBARDIA";0;
"2016PATTIMOL";"2014-2020";"FSC";"PATTI";"PATTO MOLISE";"MOLISE";0;
"2016PATTINAP";"2014-2020";"FSC";"PATTI";"PATTO NAPOLI";"CAMPANIA";0;
"2016PATTIPAL";"2014-2020";"FSC";"PATTI";"PATTO PALERMO";"SICILIA";0;
