"OC_CODICE_PROGRAMMA";"x_CICLO";"x_FONDO";"x_AMBITO";"x_GRUPPO";"x_PROGRAMMA";"NOTE"
"2014IT05M2OP001";"2014-2020";"PROGRAMMI FESR-FSE";"FESR-FSE";"PON";"PON SCUOLA";
"2014IT05M2OP002";"2014-2020";"PROGRAMMI FESR-FSE";"FESR-FSE";"PON";"PON GOVERNANCE";
"2014IT16RFOP004";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR ABRUZZO FESR";
"2014IT16RFOP005";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR PA BOLZANO FESR";
"2014IT16RFOP007";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR CAMPANIA FESR";
"2014IT16RFOP008";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR EMILIA-ROMAGNA FESR";
"2014IT16RFOP009";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR FRIULI-VENEZIA GIULIA FESR";
"2014IT16RFOP010";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR LAZIO FESR";
"2014IT16RFOP011";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR LIGURIA FESR";
"2014IT16RFOP012";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR LOMBARDIA FESR";
"2014IT16RFOP013";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR MARCHE FESR";
"2014IT16RFOP014";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR PIEMONTE FESR";
"2014IT16RFOP015";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR SARDEGNA FESR";
"2014IT16RFOP016";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR SICILIA FESR";
"2014IT16RFOP017";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR TOSCANA FESR";
"2014IT16RFOP018";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR PA TRENTO FESR";
"2014IT16RFOP019";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR UMBRIA FESR";
"2014IT16RFOP020";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR VALLE D'AOSTA FESR";
"2014IT16RFOP021";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR VENETO FESR";
"2014IT16RFOP022";"2014-2020";"PROGRAMMI FESR";"FESR";"POR";"POR BASILICATA FESR";
"2015IT16RFSM001";"2014-2020";"PROGRAMMI FESR";"FESR";"PON";"PON INIZIATIVA PMI";
"2014IT16RFOP001";"2014-2020";"PROGRAMMI FESR";"FESR";"PON";"PON CULTURA";
"2014IT16RFOP002";"2014-2020";"PROGRAMMI FESR";"FESR";"PON";"PON INFRASTRUTTURE";
"2014IT16RFOP003";"2014-2020";"PROGRAMMI FESR";"FESR";"PON";"PON IMPRESE";
"2014IT06RDRP001";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR ABRUZZO";
"2014IT06RDRP002";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR BOLZANO";
"2014IT06RDRP003";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR EMILIA-ROMAGNA";
"2014IT06RDRP004";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR FRIULI-VENEZIA GIULIA";
"2014IT06RDRP005";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR LAZIO";
"2014IT06RDRP006";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR LIGURIA";
"2014IT06RDRP007";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR LOMBARDIA";
"2014IT06RDRP008";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR MARCHE";
"2014IT06RDRP009";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR PIEMONTE";
"2014IT06RDRP010";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR TOSCANA";
"2014IT06RDRP011";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR TRENTO";
"2014IT06RDRP012";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR UMBRIA";
"2014IT06RDRP013";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR VALLE D'AOSTA";
"2014IT06RDRP014";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR VENETO";
"2014IT06RDRP015";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR MOLISE";
"2014IT06RDRP016";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR SARDEGNA";
"2014IT06RDRP017";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR BASILICATA";
"2014IT06RDRP018";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR CALABRIA";
"2014IT06RDRP019";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR CAMPANIA";
"2014IT06RDRP020";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR PUGLIA";
"2014IT06RDRP021";"2014-2020";"PROGRAMMI FEASR";"FEASR";"POR";"PSR SICILIA";
"2014IT06RDNP001";"2014-2020";"PROGRAMMI FEASR";"FEASR";"PON";"PSR NAZIONALE";
"2014IT06RDRN001";"2014-2020";"PROGRAMMI FEASR";"FEASR";"PON";"RETE RURALE NAZIONALE";
"2014TC16I5CB008";"2014-2020";"PROGRAMMI CTE";"CTE";"IPA";"IPA-CBC ITA-ALB-MON";
"2014TC16M4TN001";"2014-2020";"PROGRAMMI CTE";"CTE";"TRANSNATIONAL";"MED";
"2014TC16RFCB020";"2014-2020";"PROGRAMMI CTE";"CTE";"CROSSBORDER";"INTERREG GRE-ITALY";
"2014TC16RFCB033";"2014-2020";"PROGRAMMI CTE";"CTE";"CROSSBORDER";"INTERREG ITA-FRA MARITIME";
"2014TC16RFCB034";"2014-2020";"PROGRAMMI CTE";"CTE";"CROSSBORDER";"INTERREG FR-ITA ALCOTRA";
"2014TC16RFCB035";"2014-2020";"PROGRAMMI CTE";"CTE";"CROSSBORDER";"INTERREG ITA-SWI";
"2014TC16RFCB036";"2014-2020";"PROGRAMMI CTE";"CTE";"CROSSBORDER";"INTERREG ITA-SLO";
"2014TC16RFCB037";"2014-2020";"PROGRAMMI CTE";"CTE";"CROSSBORDER";"INTERREG ITA-MLT";
"2014TC16RFCB042";"2014-2020";"PROGRAMMI CTE";"CTE";"CROSSBORDER";"INTERREG ITA-HRO";
"2014TC16RFCB052";"2014-2020";"PROGRAMMI CTE";"CTE";"CROSSBORDER";"INTERREG ITA-AUS";
"2014TC16RFIR001";"2014-2020";"PROGRAMMI CTE";"CTE";"INTERREGIONAL";"INTERREG EUROPE";
"2014TC16M4TN002";"2014-2020";"PROGRAMMI CTE";"CTE";"TRANSNATIONAL";"ADRION";
"2014TC16RFIR002";"2014-2020";"PROGRAMMI CTE";"CTE";"INTERREGIONAL";"INTERACT";
"2014TC16RFIR003";"2014-2020";"PROGRAMMI CTE";"CTE";"INTERREGIONAL";"URBACT";
"2014TC16RFIR004";"2014-2020";"PROGRAMMI CTE";"CTE";"INTERREGIONAL";"ESPON";
"2014TC16RFTN001";"2014-2020";"PROGRAMMI CTE";"CTE";"TRANSNATIONAL";"ALPINE SPACE";
"2014TC16RFTN003";"2014-2020";"PROGRAMMI CTE";"CTE";"TRANSNATIONAL";"CENTRAL EUROPE";
"AREEINTASSTEC";"2014-2020";"ALTRO";"SNAI";"AREE INTERNE";"SAI ASSISTENZA TECNICA";
"2018AREAINTLIG";"2014-2020";"ALTRO";"SNAI";"AREE INTERNE";"SAI LIGURIA";
"2018AREAINTUMB";"2014-2020";"ALTRO";"SNAI";"AREE INTERNE";"SAI UMBRIA";
"2018AREAINTVALD";"2014-2020";"ALTRO";"SNAI";"AREE INTERNE";"SAI VALLE D'AOSTA";
"2017AREAINTABRU";"2014-2020";"ALTRO";"SNAI";"AREE INTERNE";"SAI ABRUZZO";
"2017AREAINTCAMP";"2014-2020";"ALTRO";"SNAI";"AREE INTERNE";"SAI CAMPANIA";
"2017AREAINTLOMB";"2014-2020";"ALTRO";"SNAI";"AREE INTERNE";"SAI LOMBARDIA";
"2017AREAINTMARC";"2014-2020";"ALTRO";"SNAI";"AREE INTERNE";"SAI MARCHE";
"2014IT14MFOP001";"2014-2020";"ALTRI SIE";"FEAMP";"FEAMP";"PON FEAMP";
"2014IT05FMOP001";"2014-2020";"ALTRI SIE";"FEAD";"FEAD";"PON FEAD";
"2014IT65AMNP001";"2014-2020";"ALTRI SIE";"FAMI";"FAMI";"PON FAMI";
"2007IT001FAOS6";"2007-2013";"PROGRAMMI FSC";"FSC";"OBIETTIVI DI SERVIZIO";"ODS CALABRIA";
"2007IT001FAOS4";"2007-2013";"PROGRAMMI FSC";"FSC";"OBIETTIVI DI SERVIZIO";"ODS PUGLIA";
"2007CB163PO014";"2007-2013";"PROGRAMMI CTE";"CTE";"CTE";"PO CTE FESR SPAZIO ALPINO 2007/2013";
"2007CB163PO033";"2007-2013";"PROGRAMMI CTE";"CTE";"CTE";"PO CTE FESR ITALIA - FRANCIA MARITTIMO";
"2007CB163PO034";"2007-2013";"PROGRAMMI CTE";"CTE";"CTE";"PO CTE FESR ITALIA - FRANCIA ALCOTRA";
"2007CB163PO035";"2007-2013";"PROGRAMMI CTE";"CTE";"CTE";"PO CTE FESR ITALIA - SVIZZERA";
"2007CB163PO036";"2007-2013";"PROGRAMMI CTE";"CTE";"CTE";"PO CTE FESR ITALIA - SLOVENIA";
"2007CB163PO037";"2007-2013";"PROGRAMMI CTE";"CTE";"CTE";"PO CTE FESR ITALIA - MALTA";
"2007CB163PO045";"2007-2013";"PROGRAMMI CTE";"CTE";"CTE";"PO CTE FESR MEDITERRANEO";
"2007CB163PO052";"2007-2013";"PROGRAMMI CTE";"CTE";"CTE";"PO CTE FESR ITALIA - AUSTRIA";
"2007CB163PO061";"2007-2013";"PROGRAMMI CTE";"CTE";"CTE";"PO CTE FESR EUROPA CENTRALE";
"2007CB163PO069";"2007-2013";"PROGRAMMI CTE";"CTE";"CTE";"PO CTE FESR EUROPA SUD-ORIENTALE";
"FSCCOMUNI";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";"RISORSE FSC ASSEGNATE AI COMUNI";"x_CICLO era 2007-2013"
"FSCBOSCOREALE";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCIVITELLATRO";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMAGEROLA";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMDIAMANTE";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMFUCECCHIO";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMLARIANO";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMLUNANO";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMLUOGOSANT";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMMANTOVA";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMSUTERA";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMUNELURAS";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMUNENARNI";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMUNETODI";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCMARSCIANO";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMCALANGIAN";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"FSCCOMUNEMASSA";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";;
"2007IT052PO009:::2016BOXXXPAC00";"2007-2013";"MISTI";"FSE";"POR";"POR CRO FSE PA BOLZANO:::PROGRAMMA PAC P.A. BOLZANO";"Era FESR a ottobre per errore"
"2007IT051PO001:::2012CAXXXPAC00";"2007-2013";"MISTI";"FSE";"POR";"POR CONV FSE CAMPANIA:::PROGRAMMA PAC CAMPANIA";"Era FESR a ottobre per errore"
"2007IT051PO007:::2007IT001FAOS9";"2007-2013";"MISTI";"FSE";"PON";"PON CONV FSE COMPETENZE PER LO SVILUPPO:::PROGRAMMA OBIETTIVI DI SERVIZIO MIUR";"Era FESR a ottobre per errore"
"2007IT161PO011:::2007SI001FA011";"2007-2013";"MISTI";"FESR";"POR";"POR CONV FESR SICILIA:::PROGRAMMA REGIONALE DI ATTUAZIONE (PRA) FSC SICILIA";
"2007IT161PO012:::2017BAXXXPAC00";"2007-2013";"MISTI";"FESR";"POR";"POR CONV FESR BASILICATA:::PROGRAMMA PAC BASILICATA";
"2007IT161PO009:::2012CAXXXPAC00";"2007-2013";"MISTI";"FESR";"POR";"POR CONV FESR CAMPANIA:::PROGRAMMA PAC CAMPANIA";
"2007IT162PO016:::2012SAXXXPAC00";"2007-2013";"MISTI";"FESR";"POR";"POR CRO FESR SARDEGNA:::PROGRAMMA PAC SARDEGNA";
"2007IT161PO011:::2012SIXXXPAC00";"2007-2013";"MISTI";"FESR";"POR";"POR CONV FESR SICILIA:::PROGRAMMA PAC SICILIA";
"2007IT161PO001:::2012MIBACPAC21";"2007-2013";"MISTI";"FESR";"POIN";"POIN CONV FESR ATTRATTORI CULTURALI, NATURALI E TURISMO:::PROGRAMMA PAC MINISTERO DEI BENI CULTURALI";
"2007IT161PO002:::2012MISE1PAC31";"2007-2013";"MISTI";"FESR";"POIN";"POIN CONV FESR ENERGIE RINNOVABILI E RISPARMIO ENERGETICO:::PROGRAMMA PAC MINISTERO DELLO SVILUPPO ECONOMICO - NUOVE AZIONI E MISURE ANTICICLICHE";
"2007IT161PO003:::2014ACTXXPAC00";"2007-2013";"MISTI";"FESR";"PON";"PON CONV FESR GOVERNANCE E ASSISTENZA TECNICA:::PROGRAMMA PAC COMPLEMENTARE PON GOVERNANCE E ASSISTENZA TECNICA";
"2007IT161PO004:::2007IT001FAOS9";"2007-2013";"MISTI";"FESR";"PON";"PON CONV FESR ISTRUZIONE - AMBIENTI PER L'APPRENDIMENTO:::PROGRAMMA OBIETTIVI DI SERVIZIO MIUR";
"2007IT161PO006:::2012MISE1PAC22";"2007-2013";"MISTI";"FESR";"PON";"PON CONV FESR RICERCA E COMPETITIVITÀ:::PROGRAMMA PAC MINISTERO DELLO SVILUPPO ECONOMICO - IMPRESE, DOMANDA PUBBLICA E PROMOZIONE";
"2007IT161PO007:::2012MINTXPAC22";"2007-2013";"MISTI";"FESR";"PON";"PON CONV FESR SICUREZZA:::PROGRAMMA PAC MINISTERO DELL'INTERNO - SICUREZZA E LEGALITA'";
"2016PATTICAMP:::2017POIMPCOMFSC";"2014-2020";"MISTI";"FSC";"PIANI OPERATIVI";"PATTO PER LO SVILUPPO REGIONE CAMPANIA:::PIANO OPERATIVO FSC IMPRESE E COMPETITIVITA'";
"2014IT16RFOP003:::2016POCIMPRESE1";"2014-2020";"MISTI";"FESR";"PON";"PON FESR IMPRESE E COMPETITIVITA':::POC IMPRESE E COMPETITIVITA'";
"2014IT16RFOP016:::2016PATTISICI";"2014-2020";"MISTI";"FESR";"POR";"POR FESR SICILIA:::PATTO PER LO SVILUPPO REGIONE SICILIA";
"2015IT16RFSM001:::2017POIMPCOMFSC";"2014-2020";"MISTI";"FESR";"PON";"PON FESR INIZIATIVA PMI:::PIANO OPERATIVO FSC IMPRESE E COMPETITIVITA'";
"2018MATERAFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"MATERA CAPITALE DELLA CULTURA 2019";"new ottobre"
"2014XXSMDFSC004";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"PIANO STRALCIO CIS TARANTO";"new ottobre"
"2014IT16M2OP005:::2017FSCRICERCA";"2014-2020";"MISTI";"FESR";"PON";"PON FESR FSE RICERCA E INNOVAZIONE:::PIANO STRALCIO RICERCA E INNOVAZIONE";"new ottobre + da gestire come FESR-FSE"
"COMMTARANTOFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"PIANI STRALCIO";"CIS AREA DI TARANTO";"new dicembre"
"FONDOGARANFSC";"2014-2020";"PROGRAMMI FSC";"FSC";"ALTRO";"FONDO DI GARANZIA PMI";"new dicembre"
"2014IT16M2OP005:::2017POCRICERCA1";"2014-2020";"MISTI";"FESR";"PON";"PON FESR FSE RICERCA E INNOVAZIONE:::POC RICERCA";"new dicembre post fix"
