anno;tipo;id_old;name_old;id_new;name_new
2099;X;93043;Sesto al Reghena;93043;Sesto al Reghena
2099;X;93044;Spilimbergo;93044;Spilimbergo
2099;X;93045;Tramonti di Sopra;93045;Tramonti di Sopra
2099;X;93046;Tramonti di Sotto;93046;Tramonti di Sotto
2099;X;93047;Travesio;93047;Travesio
2099;X;93049;Vito d'Asio;93049;Vito d'Asio
2099;X;93050;Vivaro;93050;Vivaro
2099;X;93051;Zoppola;93051;Zoppola
2099;X;93052;Vajont;93052;Vajont
2099;X;93053;Valvasone Arzene;93053;Valvasone Arzene
2015;ES;93003;Arzene;93053;Valvasone Arzene
2015;ES;93048;Valvasone;93053;Valvasone Arzene
2099;X;94001;Acquaviva d'Isernia;94001;Acquaviva d'Isernia
2099;X;94002;Agnone;94002;Agnone
2099;X;94003;Bagnoli del Trigno;94003;Bagnoli del Trigno
2099;X;94004;Belmonte del Sannio;94004;Belmonte del Sannio
2099;X;94005;Cantalupo nel Sannio;94005;Cantalupo nel Sannio
2099;X;94006;Capracotta;94006;Capracotta
2099;X;94007;Carovilli;94007;Carovilli
2099;X;94008;Carpinone;94008;Carpinone
2099;X;94009;Castel del Giudice;94009;Castel del Giudice
2099;X;94010;Castelpetroso;94010;Castelpetroso
2099;X;94011;Castelpizzuto;94011;Castelpizzuto
2099;X;94012;Castel San Vincenzo;94012;Castel San Vincenzo
2099;X;94013;Castelverrino;94013;Castelverrino
2099;X;94014;Cerro al Volturno;94014;Cerro al Volturno
2099;X;94015;Chiauci;94015;Chiauci
2099;X;94016;Civitanova del Sannio;94016;Civitanova del Sannio
2099;X;94017;Colli a Volturno;94017;Colli a Volturno
2099;X;94018;Conca Casale;94018;Conca Casale
2099;X;94019;Filignano;94019;Filignano
2099;X;94020;Forlì del Sannio;94020;Forlì del Sannio
2099;X;94021;Fornelli;94021;Fornelli
2099;X;94022;Frosolone;94022;Frosolone
2099;X;94023;Isernia;94023;Isernia
2099;X;94024;Longano;94024;Longano
2099;X;94025;Macchia d'Isernia;94025;Macchia d'Isernia
2099;X;94026;Macchiagodena;94026;Macchiagodena
2099;X;94027;Miranda;94027;Miranda
2099;X;94028;Montaquila;94028;Montaquila
2099;X;94029;Montenero Val Cocchiara;94029;Montenero Val Cocchiara
2099;X;94030;Monteroduni;94030;Monteroduni
2099;X;94031;Pesche;94031;Pesche
2099;X;94032;Pescolanciano;94032;Pescolanciano
2099;X;94033;Pescopennataro;94033;Pescopennataro
2099;X;94034;Pettoranello del Molise;94034;Pettoranello del Molise
2099;X;94035;Pietrabbondante;94035;Pietrabbondante
2099;X;94036;Pizzone;94036;Pizzone
2099;X;94037;Poggio Sannita;94037;Poggio Sannita
2099;X;94038;Pozzilli;94038;Pozzilli
2099;X;94039;Rionero Sannitico;94039;Rionero Sannitico
2099;X;94040;Roccamandolfi;94040;Roccamandolfi
2099;X;94041;Roccasicura;94041;Roccasicura
2099;X;94042;Rocchetta a Volturno;94042;Rocchetta a Volturno
2099;X;94043;San Pietro Avellana;94043;San Pietro Avellana
2099;X;94044;Sant'Agapito;94044;Sant'Agapito
2099;X;94045;Santa Maria del Molise;94045;Santa Maria del Molise
2099;X;94046;Sant'Angelo del Pesco;94046;Sant'Angelo del Pesco
2099;X;94047;Sant'Elena Sannita;94047;Sant'Elena Sannita
2099;X;94048;Scapoli;94048;Scapoli
2099;X;94049;Sessano del Molise;94049;Sessano del Molise
2099;X;94050;Sesto Campano;94050;Sesto Campano
2099;X;94051;Vastogirardi;94051;Vastogirardi
2099;X;94052;Venafro;94052;Venafro
2099;X;95001;Abbasanta;95001;Abbasanta
2099;X;95002;Aidomaggiore;95002;Aidomaggiore
2099;X;95003;Albagiara;95003;Albagiara
2099;X;95004;Ales;95004;Ales
2099;X;95005;Allai;95005;Allai
2099;X;95006;Arborea;95006;Arborea
2099;X;95007;Ardauli;95007;Ardauli
2099;X;95008;Assolo;95008;Assolo
2099;X;95009;Asuni;95009;Asuni
2099;X;95010;Baradili;95010;Baradili
2099;X;95011;Baratili San Pietro;95011;Baratili San Pietro
2099;X;95012;Baressa;95012;Baressa
2099;X;95013;Bauladu;95013;Bauladu
2099;X;95014;Bidonì;95014;Bidonì
2099;X;95015;Bonarcado;95015;Bonarcado
2099;X;95016;Boroneddu;95016;Boroneddu
2099;X;95017;Busachi;95017;Busachi
2099;X;95018;Cabras;95018;Cabras
2099;X;95019;Cuglieri;95019;Cuglieri
2099;X;95020;Fordongianus;95020;Fordongianus
2099;X;95021;Ghilarza;95021;Ghilarza
2099;X;95022;Gonnoscodina;95022;Gonnoscodina
2099;X;95023;Gonnosnò;95023;Gonnosnò
2099;X;95024;Gonnostramatza;95024;Gonnostramatza
2099;X;95025;Marrubiu;95025;Marrubiu
2099;X;95026;Masullas;95026;Masullas
2099;X;95027;Milis;95027;Milis
2099;X;95028;Mogorella;95028;Mogorella
2099;X;95029;Mogoro;95029;Mogoro
2099;X;95030;Morgongiori;95030;Morgongiori
2099;X;95031;Narbolia;95031;Narbolia
2099;X;95032;Neoneli;95032;Neoneli
2099;X;95033;Norbello;95033;Norbello
2099;X;95034;Nughedu Santa Vittoria;95034;Nughedu Santa Vittoria
2099;X;95035;Nurachi;95035;Nurachi
2099;X;95036;Nureci;95036;Nureci
2099;X;95037;Ollastra;95037;Ollastra
2099;X;95038;Oristano;95038;Oristano
2099;X;95039;Palmas Arborea;95039;Palmas Arborea
2099;X;95040;Pau;95040;Pau
2099;X;95041;Paulilatino;95041;Paulilatino
2099;X;95042;Pompu;95042;Pompu
2099;X;95043;Riola Sardo;95043;Riola Sardo
2099;X;95044;Ruinas;95044;Ruinas
2099;X;95045;Samugheo;95045;Samugheo
2099;X;95046;San Nicolò d'Arcidano;95046;San Nicolò d'Arcidano
2099;X;95047;Santa Giusta;95047;Santa Giusta
2099;X;95048;Villa Sant'Antonio;95048;Villa Sant'Antonio
2099;X;95049;Santu Lussurgiu;95049;Santu Lussurgiu
2099;X;95050;San Vero Milis;95050;San Vero Milis
2099;X;95051;Scano di Montiferro;95051;Scano di Montiferro
2099;X;95052;Sedilo;95052;Sedilo
2099;X;95053;Seneghe;95053;Seneghe
2099;X;95054;Senis;95054;Senis
2099;X;95055;Sennariolo;95055;Sennariolo
2099;X;95056;Siamaggiore;95056;Siamaggiore
2099;X;95057;Siamanna;95057;Siamanna
2099;X;95058;Simala;95058;Simala
2099;X;95059;Simaxis;95059;Simaxis
2099;X;95060;Sini;95060;Sini
2099;X;95061;Siris;95061;Siris
2099;X;95062;Solarussa;95062;Solarussa
2099;X;95063;Sorradile;95063;Sorradile
2099;X;95064;Tadasuni;95064;Tadasuni
2099;X;95065;Terralba;95065;Terralba
2099;X;95066;Tramatza;95066;Tramatza
2099;X;95067;Tresnuraghes;95067;Tresnuraghes
2099;X;95068;Ulà Tirso;95068;Ulà Tirso
2099;X;95069;Uras;95069;Uras
2099;X;95070;Usellus;95070;Usellus
2099;X;95071;Villanova Truschedu;95071;Villanova Truschedu
2099;X;95072;Villaurbana;95072;Villaurbana
2099;X;95073;Villa Verde;95073;Villa Verde
2099;X;95074;Zeddiani;95074;Zeddiani
2099;X;95075;Zerfaliu;95075;Zerfaliu
2099;X;95076;Siapiccia;95076;Siapiccia
2099;X;95077;Curcuris;95077;Curcuris
2099;X;95078;Soddì;95078;Soddì
2099;X;95079;Bosa;95079;Bosa
2006;AP;91013;Bosa;95079;Bosa
2099;X;95080;Flussio;95080;Flussio
2006;AP;91023;Flussio;95080;Flussio
2099;X;95082;Laconi;95082;Laconi
2006;AP;91036;Laconi;95082;Laconi
2099;X;95083;Magomadas;95083;Magomadas
2006;AP;91045;Magomadas;95083;Magomadas
2099;X;95084;Modolo;95084;Modolo
2006;AP;91048;Modolo;95084;Modolo
2099;X;95085;Montresta;95085;Montresta
2006;AP;91049;Montresta;95085;Montresta
2099;X;95086;Sagama;95086;Sagama
2006;AP;91075;Sagama;95086;Sagama
2099;X;95087;Suni;95087;Suni
2006;AP;91087;Suni;95087;Suni
2099;X;95088;Tinnura;95088;Tinnura
2006;AP;91092;Tinnura;95088;Tinnura
2099;X;96001;Ailoche;96001;Ailoche
1992;AP;2001;Ailoche;96001;Ailoche
2099;X;96002;Andorno Micca;96002;Andorno Micca
1992;AP;2005;Andorno Micca;96002;Andorno Micca
2099;X;96003;Benna;96003;Benna
1992;AP;2010;Benna;96003;Benna
2099;X;96004;Biella;96004;Biella
1992;AP;2012;Biella;96004;Biella
2099;X;96005;Bioglio;96005;Bioglio
1992;AP;2013;Bioglio;96005;Bioglio
2099;X;96006;Borriana;96006;Borriana
1992;AP;2018;Borriana;96006;Borriana
2099;X;96007;Brusnengo;96007;Brusnengo
1992;AP;2020;Brusnengo;96007;Brusnengo
2099;X;96008;Callabiana;96008;Callabiana
1992;AP;2022;Callabiana;96008;Callabiana
2099;X;96009;Camandona;96009;Camandona
1992;AP;2023;Camandona;96009;Camandona
2099;X;96010;Camburzano;96010;Camburzano
1992;AP;2024;Camburzano;96010;Camburzano
2099;X;96012;Candelo;96012;Candelo
1992;AP;2027;Candelo;96012;Candelo
2099;X;96013;Caprile;96013;Caprile
1992;AP;2028;Caprile;96013;Caprile
2099;X;96014;Casapinta;96014;Casapinta
1992;AP;2034;Casapinta;96014;Casapinta
2099;X;96015;Castelletto Cervo;96015;Castelletto Cervo
1992;AP;2036;Castelletto Cervo;96015;Castelletto Cervo
2099;X;96016;Cavaglià;96016;Cavaglià
1992;AP;2037;Cavaglià;96016;Cavaglià
2099;X;96018;Cerrione;96018;Cerrione
1992;AP;2040;Cerrione;96018;Cerrione
2099;X;96019;Coggiola;96019;Coggiola
1992;AP;2044;Coggiola;96019;Coggiola
2099;X;96020;Cossato;96020;Cossato
1992;AP;2046;Cossato;96020;Cossato
2099;X;96021;Crevacuore;96021;Crevacuore
1992;AP;2050;Crevacuore;96021;Crevacuore
2099;X;96023;Curino;96023;Curino
1992;AP;2053;Curino;96023;Curino
2099;X;96024;Donato;96024;Donato
1992;AP;2055;Donato;96024;Donato
2099;X;96025;Dorzano;96025;Dorzano
1992;AP;2056;Dorzano;96025;Dorzano
2099;X;96026;Gaglianico;96026;Gaglianico
1992;AP;2060;Gaglianico;96026;Gaglianico
2099;X;96027;Gifflenga;96027;Gifflenga
1992;AP;2063;Gifflenga;96027;Gifflenga
2099;X;96028;Graglia;96028;Graglia
1992;AP;2064;Graglia;96028;Graglia
2099;X;96030;Magnano;96030;Magnano
1992;AP;2073;Magnano;96030;Magnano
2099;X;96031;Massazza;96031;Massazza
1992;AP;2074;Massazza;96031;Massazza
2099;X;96032;Masserano;96032;Masserano
1992;AP;2075;Masserano;96032;Masserano
2099;X;96033;Mezzana Mortigliengo;96033;Mezzana Mortigliengo
1992;AP;2076;Mezzana Mortigliengo;96033;Mezzana Mortigliengo
2099;X;96034;Miagliano;96034;Miagliano
1992;AP;2077;Miagliano;96034;Miagliano
2099;X;96035;Mongrando;96035;Mongrando
1992;AP;2080;Mongrando;96035;Mongrando
2099;X;96037;Mottalciata;96037;Mottalciata
1992;AP;2083;Mottalciata;96037;Mottalciata
2099;X;96038;Muzzano;96038;Muzzano
1992;AP;2084;Muzzano;96038;Muzzano
2099;X;96039;Netro;96039;Netro
1992;AP;2085;Netro;96039;Netro
2099;X;96040;Occhieppo Inferiore;96040;Occhieppo Inferiore
1992;AP;2086;Occhieppo Inferiore;96040;Occhieppo Inferiore
2099;X;96041;Occhieppo Superiore;96041;Occhieppo Superiore
1992;AP;2087;Occhieppo Superiore;96041;Occhieppo Superiore
2099;X;96042;Pettinengo;96042;Pettinengo
1992;AP;2092;Pettinengo;96042;Pettinengo
2017;ES;96061;Selve Marcone;96042;Pettinengo
2017;ES;2136;Selve Marcone;96042;Pettinengo
2099;X;96043;Piatto;96043;Piatto
1992;AP;2094;Piatto;96043;Piatto
2099;X;96044;Piedicavallo;96044;Piedicavallo
1992;AP;2095;Piedicavallo;96044;Piedicavallo
2099;X;96046;Pollone;96046;Pollone
1992;AP;2099;Pollone;96046;Pollone
2099;X;96047;Ponderano;96047;Ponderano
1992;AP;2100;Ponderano;96047;Ponderano
2099;X;96048;Portula;96048;Portula
1992;AP;2101;Portula;96048;Portula
2099;X;96049;Pralungo;96049;Pralungo
1992;AP;2103;Pralungo;96049;Pralungo
2099;X;96050;Pray;96050;Pray
1992;AP;2105;Pray;96050;Pray
2099;X;96053;Ronco Biellese;96053;Ronco Biellese
1992;AP;2117;Ronco Biellese;96053;Ronco Biellese
2099;X;96054;Roppolo;96054;Roppolo
1992;AP;2119;Roppolo;96054;Roppolo
2099;X;96055;Rosazza;96055;Rosazza
1992;AP;2120;Rosazza;96055;Rosazza
2099;X;96056;Sagliano Micca;96056;Sagliano Micca
1992;AP;2124;Sagliano Micca;96056;Sagliano Micca
2099;X;96057;Sala Biellese;96057;Sala Biellese
1992;AP;2125;Sala Biellese;96057;Sala Biellese
2099;X;96058;Salussola;96058;Salussola
1992;AP;2129;Salussola;96058;Salussola
2099;X;96059;Sandigliano;96059;Sandigliano
1992;AP;2130;Sandigliano;96059;Sandigliano
2099;X;96063;Sordevolo;96063;Sordevolo
1992;AP;2139;Sordevolo;96063;Sordevolo
2099;X;96064;Sostegno;96064;Sostegno
1992;AP;2140;Sostegno;96064;Sostegno
2099;X;96065;Strona;96065;Strona
1992;AP;2141;Strona;96065;Strona
2099;X;96066;Tavigliano;96066;Tavigliano
1992;AP;2143;Tavigliano;96066;Tavigliano
2099;X;96067;Ternengo;96067;Ternengo
1992;AP;2144;Ternengo;96067;Ternengo
2099;X;96068;Tollegno;96068;Tollegno
1992;AP;2145;Tollegno;96068;Tollegno
2099;X;96069;Torrazzo;96069;Torrazzo
1992;AP;2146;Torrazzo;96069;Torrazzo
2099;X;96071;Valdengo;96071;Valdengo
1992;AP;2151;Valdengo;96071;Valdengo
2099;X;96072;Vallanzengo;96072;Vallanzengo
1992;AP;2153;Vallanzengo;96072;Vallanzengo
2099;X;96074;Valle San Nicolao;96074;Valle San Nicolao
1992;AP;2155;Valle San Nicolao;96074;Valle San Nicolao
2099;X;96075;Veglio;96075;Veglio
1992;AP;2157;Veglio;96075;Veglio
2099;X;96076;Verrone;96076;Verrone
1992;AP;2159;Verrone;96076;Verrone
2099;X;96077;Vigliano Biellese;96077;Vigliano Biellese
1992;AP;2160;Vigliano Biellese;96077;Vigliano Biellese
2099;X;96078;Villa del Bosco;96078;Villa del Bosco
1992;AP;2161;Villa del Bosco;96078;Villa del Bosco
2099;X;96079;Villanova Biellese;96079;Villanova Biellese
1992;AP;2162;Villanova Biellese;96079;Villanova Biellese
2099;X;96080;Viverone;96080;Viverone
1992;AP;2165;Viverone;96080;Viverone
2099;X;96081;Zimone;96081;Zimone
1992;AP;2167;Zimone;96081;Zimone
2099;X;96082;Zubiena;96082;Zubiena
1992;AP;2168;Zubiena;96082;Zubiena
2099;X;96083;Zumaglia;96083;Zumaglia
1992;AP;2169;Zumaglia;96083;Zumaglia
2099;X;96085;Lessona;96085;Lessona
2016;ES;96022;Crosa;96085;Lessona
2016;ES;96029;Lessona;96085;Lessona
2016;ES;2051;Crosa;96085;Lessona
2016;ES;2069;Lessona;96085;Lessona
2099;X;96086;Campiglia Cervo;96086;Campiglia Cervo
2016;ES;96011;Campiglia Cervo;96086;Campiglia Cervo
2016;ES;96052;Quittengo;96086;Campiglia Cervo
2016;ES;96060;San Paolo Cervo;96086;Campiglia Cervo
2016;ES;2026;Campiglia Cervo;96086;Campiglia Cervo
2016;ES;2109;Quittengo;96086;Campiglia Cervo
2016;ES;2132;San Paolo Cervo;96086;Campiglia Cervo
2099;X;96087;Quaregna Cerreto;96087;Quaregna Cerreto
2019;ES;96051;Quaregna;96087;Quaregna Cerreto
2019;ES;96017;Cerreto Castello;96087;Quaregna Cerreto
2019;ES;2106;Quaregna;96087;Quaregna Cerreto
2019;ES;2039;Cerreto Castello;96087;Quaregna Cerreto
2099;X;96088;Valdilana;96088;Valdilana
2019;ES;96084;Mosso;96088;Valdilana
2019;ES;96062;Soprana;96088;Valdilana
2019;ES;96070;Trivero;96088;Valdilana
2019;ES;96073;Valle Mosso;96088;Valdilana
2019;ES;96036;Mosso Santa Maria;96088;Valdilana
2019;ES;96045;Pistolesa;96088;Valdilana
2019;ES;2081;Mosso Santa Maria;96088;Valdilana
2019;ES;2098;Pistolesa;96088;Valdilana
2019;ES;2138;Soprana;96088;Valdilana
2019;ES;2149;Trivero;96088;Valdilana
2019;ES;2154;Valle Mosso;96088;Valdilana
2099;X;97001;Abbadia Lariana;97001;Abbadia Lariana
1992;AP;13001;Abbadia Lariana;97001;Abbadia Lariana
2099;X;97002;Airuno;97002;Airuno
1992;AP;13002;Airuno;97002;Airuno
2099;X;97003;Annone di Brianza;97003;Annone di Brianza
1992;AP;13008;Annone di Brianza;97003;Annone di Brianza
2099;X;97004;Ballabio;97004;Ballabio
1992;AP;13014;Ballabio;97004;Ballabio
2099;X;97005;Barzago;97005;Barzago
1992;AP;13016;Barzago;97005;Barzago
2099;X;97006;Barzanò;97006;Barzanò
1992;AP;13017;Barzanò;97006;Barzanò
2099;X;97007;Barzio;97007;Barzio
1992;AP;13018;Barzio;97007;Barzio
2099;X;97008;Bellano;97008;Bellano
1992;AP;13020;Bellano;97008;Bellano
2020;ES;97085;Vendrogno;97008;Bellano
2020;ES;13237;Vendrogno;97008;Bellano
2099;X;97009;Bosisio Parini;97009;Bosisio Parini
1992;AP;13027;Bosisio Parini;97009;Bosisio Parini
2099;X;97010;Brivio;97010;Brivio
1992;AP;13031;Brivio;97010;Brivio
2099;X;97011;Bulciago;97011;Bulciago
1992;AP;13033;Bulciago;97011;Bulciago
2099;X;97012;Calco;97012;Calco
1992;AP;13039;Calco;97012;Calco
2099;X;97013;Calolziocorte;97013;Calolziocorte
